RA,Dec,Name,Kepler_ID,2MASS ID,Data Availability,Seasons on CCD,J,kepmag,Edge_Distance_0 (px),Channel_0,Module_0,Output_0,Row_0,Column_0,Channel_1,Module_1,Output_1,Row_1,Column_1,Channel_2,Module_2,Output_2,Row_2,Column_2,Channel_3,Module_3,Output_3,Row_3,Column_3
19 05 09.839,+49 55 23.40,HD_178208,11753949,19050982+4955232,2,4,4.514,6.076,283,80,23,4,693,541,52,15,4,689,540,8,3,4,688,544,36,11,4,693,544
19 41 51.980,+50 31 03.09, 16_Cyg_B,12069449,19415198+5031032,2,4,4.993,6.095,67,71,20,3,921,562,11,4,3,919,557,15,6,3,925,557,75,22,3,922,562
19 39 34.537,+45 57 26.78,HD_185955,9411865,19393452+4557268,2,4,4.654,6.114,277,48,14,4,681,827,24,8,4,681,831,40,12,4,685,830,64,18,4,686,827
19 36 32.407,+43 42 22.00,HD_185286,7966681,19363240+4342220,0,4,4.331,6.151,0,26,9,2,34,326,18,7,2,36,320,58,17,2,31,320,66,19,2,32,325
19 55 40.611,+40 10 22.44,HD_188875,5041881,19554061+4010225,0,4,4.189,6.164,17,11,4,3,96,884,15,6,3,102,883,75,22,3,99,889,71,20,3,98,888
18 53 28.527,+42 54 09.40,HD_176466,7340766,18532851+4254092,0,4,3.858,6.165,113,54,16,2,632,129,82,24,2,632,133,30,10,2,636,133,2,2,2,638,128
19 00 19.062,+40 41 02.40, V547_Lyr,5429948,19001907+4041023,0,4,2.258,6.199,48,34,11,2,933,410,78,23,2,933,413,50,15,2,936,413,6,3,2,935,409
18 55 35.718,+42 03 37.01,HD_175884,6584587,18553571+4203367,0,4,4.655,6.21,153,33,11,1,819,337,77,23,1,818,333,49,15,1,821,333,5,3,1,821,338
19 15 19.176,+50 04 16.06,HD_180756,11808639,19151915+5004159,2,4,5.035,6.229,233,82,24,2,730,391,30,10,2,734,391,2,2,2,735,386,54,16,2,729,386
19 35 55.946,+50 14 19.02,HD_185264,11918397,19355593+5014188,2,4,4.882,6.235,307,70,20,2,376,351,10,4,2,377,346,14,6,2,372,346,74,22,2,372,350
19 11 23.162,+40 25 44.74,HD_179583,5262713,19112315+4025447,0,4,5.95,6.252,65,17,7,1,503,81,57,17,1,499,81,65,19,1,499,76,25,9,1,504,76
19 41 57.616,+40 15 14.92,HD_186307,5113557,19415761+4015147,2,4,5.799,6.266,129,6,3,2,866,355,34,11,2,864,356,78,23,2,863,359,50,15,2,866,359
19 17 19.978,+39 07 15.89,HD_181069,4049174,19171994+3907163,2,4,4.482,6.279,8,20,7,4,97,265,60,17,4,102,265,68,19,4,104,262,28,9,4,99,262
