time,tau1,tau1_err,tau2,tau2_err,tau3,tau3_err,tau4,tau4_err,tau5,tau5_err,tau6,tau6_err,tau7,tau7_err,tau8,tau8_err,tau9,tau9_err
54974.50404,667.2287199,86.47365559214234,-92.3827576,80.48470952052956,637.0820019,178.23263597096062,-692.6291879,244.5135446193112,-66.8359975,265.23694339583386,-235.3601741,161.61024979886983,-512.961643,299.9,-110.8009327,299.9,0.0,100000
54994.50936,378.4408767,98.18786669775712,-32.0945856,85.07724967603015,678.7480471,188.1344490804584,-616.2187052,252.0113232336143,-206.6419279,278.0345631812525,-227.4477995,238.32072087843133,780.0598179,299.9,-91.5868981,299.9,1278.5195142,299.9
55014.51448,207.6086314,72.52235556010808,-55.1459455,85.96384043964031,151.7951218,179.97280609663966,-659.1996017,233.02809393943926,-197.0825481,243.4296080938833,-114.6964625,299.9,-435.4836594,299.9,23.6973093,299.9,897.7215602,299.9
55034.51931,1029.2303826,78.86755324231609,3.3690449,76.42412382319507,458.1631016,140.04693095958044,-819.1840499,258.3629446075144,-150.4805713,271.67757557542365,3.9891555,208.84712574987364,-323.5710163,299.9,-55.4193036,299.9,726.9394476,299.9
55054.52383,807.5552071,97.23201961101422,-12.5895888,79.73997327909704,507.1819784,147.00761146229672,-258.0445676,219.7517725714376,-62.0563076,244.0748662343246,403.5640693,256.75655353602576,499.4173437,299.9,-200.0896816,299.9,876.9507628,299.9
55074.52803,457.7558477,76.56945279972153,10.461771,74.54455140434155,556.2008552,135.02249608966198,28.4947425,234.38915566241783,-158.8450286,222.96058597210722,213.6670806,237.2723312530531,783.5032838,299.9,-276.9458199,299.9,955.4182199,299.9
55094.53193,657.0601339,73.1121335498005,76.0694875,86.67311305052841,803.7461829,138.0126475732232,152.6617769,260.60750253663696,26.3679561,199.75519136586723,733.905706,278.5353644330338,-530.1789727,299.9,227.1400283,299.9,0.0,100000
55114.53561,945.8479771,80.69789872756839,44.15222,75.83897391921238,1298.8368384,132.17940123643984,-43.140085,188.59062259798046,-32.1832455,257.05172439208803,1180.954867,274.6385199764392,-209.9366402,280.5563875555102,4.4832747,299.9,678.4742534,299.9
55134.53914,579.7788801,87.36849116271013,77.842669,67.45182529546032,1039.0367915,127.71868344948786,515.6115697,190.73966742373614,-25.0137106,206.86498013554427,532.1401555,271.7702842088951,1002.1633711,299.9,-108.540458,299.9,-477.7668066,299.9
55154.54266,732.3076705,64.95692755439856,53.0181277,84.59849066368066,1450.7953564,184.80116545943935,606.3490179,280.8801587262654,255.7930727,299.9,0.0,100000,-857.3082371,299.9,181.9305352,299.9,1137.7396645,299.9
55173.41224,927.5445223,76.22372087472942,141.677204,79.06616429875332,945.9009256,180.7325986867249,522.7750524,173.57118709353256,194.8520261,239.3429732044219,551.9210918,299.9,-252.9799645,287.61549273487555,62.1253784,299.9,62.273928,299.9
55195.59216,858.3981373,88.46669845386151,-5.4968627,73.64022882545919,703.2574855,158.20842480645635,236.2357423,176.24555398780626,-64.4461525,228.9471476084235,1432.1727584,287.57525233488,762.8424882,299.9,-169.5732737,299.9,216.900976,299.9
55215.59627,681.4647404,85.8025289142165,-1.9504997,89.65205801625854,507.1819784,179.286541821724,-26.4252919,222.0918436039271,46.6816383,249.5834588777214,1074.1378108,299.9,268.7051256,299.9,34.9996826,299.9,-385.4521511,299.9
55235.60072,941.7805427,81.47071126578602,106.2135735,93.85449823577065,622.3763388,213.47720837555926,857.0709142,217.84151050409923,282.0813673,299.9,0.0,100000,0.1147822,299.9,394.4151528,299.9,-655.4725184,299.9
55255.60552,709.9367813,90.17502090676366,106.2135735,78.28596442677639,399.3404495,152.59576341518164,718.5769143,227.1540380823738,164.9789641,251.50728407422224,1347.1147322,299.9,573.4518614,299.9,47.4322932,299.9,364.6044248,299.9
55275.61061,563.5091424,80.2504809422845,-28.5482226,83.99560894442577,686.1008787,157.54666996993055,560.9802938,223.07085291343802,111.2074524,267.6267883604312,0.0,100000,0.0,100000,-192.1780203,299.9,-64.6587233,299.9
55295.61592,813.6563588,78.1150778761568,29.9667678,77.87813267551572,634.631058,135.53719429584876,749.6186729,145.51421297950026,4.8593514,206.37506191780182,1477.6689119,299.9,-390.7186021,299.9,-52.0285917,299.9,456.9190803,299.9
55315.62137,583.8463145,91.11053082144818,44.15222,85.48508142729082,668.9442718,139.2871383694952,966.9109831,191.3843808714628,-197.0825481,264.95016200008223,-393.6076647,299.9,-29.1546783,292.7979089763121,-38.4657437,289.66852471651384,-1273.9807103,299.9
55335.62682,425.2163724,77.9117061555732,-78.1973053,80.55563678161838,828.2556213,129.605910205506,763.9456384,214.85672602388303,-139.7262689,249.18913445856285,358.0679158,299.9,-356.2839427,299.9,-200.0896816,299.9,1278.5195142,299.9
55355.63219,770.9482974,72.82741314098347,-129.6195696,71.21097013316738,1080.7028367,143.50276177254872,747.2308453,171.2072377852013,-149.2856488,225.0397510913069,-630.9789006,299.9,-240.9278337,299.9,-275.8155825,282.50282005888886,-567.7735957,299.9
55368.29129,1261.074144,242.45976527975566,-126.0732066,150.54311166100376,1117.4669943,291.31918470171036,639.778604,299.9,-283.1169668,299.9,0.0,100000,540.738935,299.9,287.0426067,299.9,-1024.7311404,299.9
55473.16599,368.2722907,76.58978997177988,-122.5268435,70.43077026119045,463.0649893,131.7382313454226,1301.2068449,202.63104879291748,-60.8613851,209.19507897602665,-814.9416085,299.9,-476.8052506,299.9,-53.158829,299.9,189.2065793,299.9
55493.16957,589.9474661,71.56650847336522,-40.9604933,77.43483729371064,524.3385853,139.3361572462749,0.0,100000,-22.6238657,207.7372735476223,-45.4631853,299.9,-46.372008,299.9,-253.210836,299.9,0.0,100000
55513.17308,931.6119567,81.20632802902736,-55.1459455,71.40602010116162,656.6895526,125.58636230957126,0.0,100000,-85.9547572,189.45495956845275,89.0471817,285.91365368333715,-543.9528365,299.9,-70.1123889,263.8878112716518,830.793435,299.9
55533.17665,508.5987779,86.18893518332531,-58.6923085,81.2471775772343,806.1971268,144.0664788555152,0.0,100000,15.6136538,196.51695143883785,-19.7479681,299.9,-320.1275503,299.9,-179.7454097,280.2875548965947,706.1686501,299.9
55547.75542,1080.0733127,117.71155187378172,56.5644907,126.8888700878849,602.7687881,216.34481266717125,0.0,100000,-152.8704162,299.9,-257.119204,299.9,315.1919158,299.9,-311.983177,299.9,0.0,100000
55578.35399,512.6662123,77.38293968205588,45.9254016,70.87406564299552,945.9009256,138.7479307249186,0.0,100000,-138.5313464,196.61254523742173,71.244339,299.9,-351.1187438,299.9,-28.2936078,283.52003365381984,0.0,100000
55598.3584,545.2056876,74.27135235712694,143.4503856,93.53532556087099,990.0179147,176.12482426943384,0.0,100000,52.6562507,253.55060151895296,696.321927,299.9,-156.5629181,299.9,-53.158829,299.9,-542.3870655,299.9
55618.36315,1065.8372923,85.39578547304932,95.5744843,75.83897391921238,975.3122517,160.04663268569482,0.0,100000,83.7242353,236.6543976192499,1125.5682453,299.9,532.1302701,299.9,-5.6888612,282.0394227545314,0.0,100000
55638.3682,93.7204679,112.74928189154214,123.9453888,83.71189990007052,857.6669474,198.62448871131255,0.0,100000,46.6816383,203.18461889006437,733.905706,276.69573735454,478.756548,299.9,326.6009131,299.9,0.0,100000
55658.3735,724.1728017,68.96335044989527,107.986755,71.9557063745999,906.6858242,156.29668861204837,1446.8643275,299.9,78.9445453,192.9202347671189,1196.7796161,299.9,-354.5622097,299.9,86.9905997,299.9,0.0,100000
55678.37893,1061.7698579,77.5659742305811,6.915408,76.0517557024788,575.8084059,152.9634049910293,0.0,100000,9.6390414,201.1293522205107,627.0886498,261.26660701878495,-337.34488,299.9,96.0324983,299.9,1183.8969923,299.9
55698.3844,929.5782395,86.57534145243413,12.2349525,74.49135595852493,514.5348099,163.11031248442558,0.0,100000,199.631716,240.60959103565847,413.4545375,299.9,358.2352401,299.9,86.9905997,299.9,1197.7441906,299.9
55718.38978,465.8907166,77.28125382176408,56.5644907,78.3923553184096,477.7706523,151.63989531797762,1203.3059139,299.9,-64.4461525,221.61032356710976,1368.8737621,269.9108761940733,230.8270003,299.9,53.0834798,299.9,1015.422746,299.9
